@relation exp_3_kmeans_5_7_g1

@attribute temp_media numeric
@attribute 2006 numeric
@attribute 2007 numeric
@attribute 2008 numeric
@attribute 2009 numeric
@attribute 2010 numeric
@attribute 2011 numeric
@attribute 2012 numeric
@attribute 2013 numeric
@attribute 2014 numeric
@attribute 2015 numeric
@attribute 2016 numeric
@attribute 2017 numeric
@attribute 2018 numeric
@attribute 2019 numeric
@attribute sis_cost_Pertence {0,1}
@attribute sis_cost_n_pertence {0,1}
@attribute sis_cost_pertence {0,1}
@attribute bioma_amazonia {0,1}
@attribute bioma_amazonia_cerrado {0,1}
@attribute bioma_amazonia_cerrado_pantanal {0,1}
@attribute bioma_amazonia_pantanal {0,1}
@attribute bioma_caatinga {0,1}
@attribute bioma_caatinga_cerrado {0,1}
@attribute bioma_caatinga_cerrado_mata_atlantica {0,1}
@attribute bioma_caatinga_mata_atlantica {0,1}
@attribute bioma_cerrado {0,1}
@attribute bioma_cerrado_mata_atlantica {0,1}
@attribute bioma_cerrado_pantanal {0,1}
@attribute bioma_mata_atlantica {0,1}
@attribute bioma_mata_atlantica_pampa {0,1}
@attribute bioma_pampa {0,1}
@attribute bioma_pantanal {0,1}
@attribute fx_area_grande {0,1}
@attribute fx_area_media {0,1}
@attribute fx_area_muito_pequena {0,1}
@attribute fx_area_pequena {0,1}
@attribute fx_pop_alto {0,1}
@attribute fx_pop_baixa {0,1}
@attribute fx_pop_media {0,1}
@attribute fx_pop_muito_alta {0,1}
@attribute fx_pop_muito_baixa {0,1}
@attribute categoria_2020 {baixo,medio,alto}

@data
0,0.01989,0.02045,0.019282,0.019278,0.019976,0.019944,0.020137,0.022172,0.025017,0.028471,0.029663,0.031088,0.032723,0.034195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,alto
0,0.00051,0.000508,0.000495,0.000499,0.000523,0.000518,0.000514,0.000556,0.000622,0.000702,0.000726,0.000757,0.000792,0.000823,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,medio
0,0.000576,0.00058,0.000567,0.000569,0.000577,0.000599,0.000608,0.000661,0.00075,0.000858,0.000897,0.000944,0.000997,0.001044,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,alto
0,0.001178,0.001138,0.001104,0.001115,0.00112,0.001136,0.001196,0.001244,0.001483,0.001765,0.00191,0.002067,0.002238,0.002396,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,alto
0,0.011344,0.011501,0.011236,0.011207,0.011322,0.011433,0.011769,0.012929,0.014166,0.015704,0.015979,0.016394,0.016925,0.017377,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,alto
0,0.001652,0.001674,0.001643,0.001641,0.001645,0.001643,0.001722,0.001804,0.002121,0.002498,0.002679,0.002879,0.003097,0.003299,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,alto
0,0.001952,0.001938,0.00189,0.001902,0.001872,0.001868,0.00194,0.002008,0.002379,0.002818,0.003038,0.003278,0.003539,0.003781,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,alto
0,0.02062,0.020821,0.020025,0.02017,0.020489,0.020442,0.021013,0.021853,0.025648,0.030167,0.032322,0.034702,0.037302,0.039705,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,alto
0,0.001298,0.001299,0.001796,0.001258,0.001351,0.001349,0.001348,0.001531,0.001778,0.002074,0.002206,0.002355,0.002518,0.002668,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,alto
0,0.000198,0.000198,0.000206,0.000209,0.00021,0.000217,0.000221,0.00024,0.00028,0.000327,0.000349,0.000373,0.0004,0.000424,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,medio
0,0.0045,0.004442,0.004301,0.004274,0.004228,0.004231,0.004521,0.00493,0.0056,0.00641,0.006712,0.007066,0.007466,0.00783,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,alto
0,0.002642,0.002621,0.002549,0.002565,0.002605,0.002612,0.002667,0.002835,0.003335,0.00393,0.004217,0.004534,0.004879,0.005198,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,alto
0,0.000028,0.000027,0.000027,0.000029,0.00003,0.000028,0.000029,0.000029,0.000032,0.000036,0.000037,0.000039,0.000041,0.000042,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,baixo
0,0.003547,0.00354,0.003442,0.003503,0.003526,0.003573,0.003685,0.003768,0.004503,0.005373,0.005825,0.006315,0.006844,0.007336,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,alto
0,0.000678,0.000668,0.000669,0.00069,0.000692,0.000694,0.000714,0.000744,0.00088,0.001041,0.001121,0.001208,0.001304,0.001392,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,alto
0,0.00305,0.002962,0.0029,0.002943,0.003021,0.003017,0.003131,0.00331,0.003881,0.004562,0.004884,0.005241,0.005632,0.005992,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,alto
0,0.001403,0.001415,0.001356,0.001363,0.001413,0.0014,0.001434,0.001554,0.001814,0.002124,0.002267,0.002426,0.0026,0.002761,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,alto
0,0.00113,0.00111,0.001096,0.001103,0.001121,0.001102,0.001135,0.00118,0.001384,0.001627,0.001742,0.001869,0.002008,0.002137,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,alto
0,0.000972,0.000958,0.000931,0.000945,0.000971,0.000976,0.001012,0.001082,0.001264,0.001482,0.001583,0.001696,0.001819,0.001933,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,alto
0,0.007545,0.007434,0.007329,0.007327,0.00726,0.007217,0.00745,0.008213,0.009253,0.010517,0.010945,0.011459,0.012051,0.012583,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,alto
0,0.011179,0.011181,0.010577,0.010682,0.01077,0.010757,0.010879,0.012002,0.013611,0.015557,0.01627,0.017108,0.018061,0.018924,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,alto
0.529412,0.000946,0.000937,0.000923,0.00093,0.000938,0.000928,0.000938,0.000978,0.001077,0.00122,0.001266,0.001322,0.001387,0.001445,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,alto
0.529412,0.000251,0.000266,0.000278,0.000294,0.00031,0.000319,0.000337,0.000354,0.000404,0.000459,0.000472,0.000492,0.000515,0.000535,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,medio
0.529412,0.000624,0.000834,0.001015,0.001199,0.001374,0.00151,0.00165,0.001893,0.002199,0.00254,0.002712,0.002892,0.003092,0.003275,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,alto
0.529412,0.00018,0.000243,0.000297,0.000353,0.000405,0.000446,0.00049,0.000558,0.000642,0.000742,0.002619,0.003006,0.003409,0.003792,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,alto
